,Title,Year,Page Number,Subject
33,"  Report of a committee appointed by the Committee of Trade of Montreal, to consider of and enquire into such matters as might be thought advisable to be recommended to the notice of the government of Lower Canada.",1838,3.0,Commerce
34,  Advantages of protection.,1877,3.0,Commerce
35,  A Review of the commerce of Detroit for 1861 : annual statement of the Detroit Tribune.,1862,3.0,Commerce
36,"  By His Excellency, Joseph Dudley Esq. captain general and governour in chief, in and over His Majesties provinces of the Massachusetts-Bay and New-Hampshire in New-England : a proclamation against a commerce & trade with the French of Canada, Cape Breton, &c. .",1715,3.0,Commerce
37,"  [Letter] : having waited till this late period before issuing our annual circular, we are enabled to quote prices of produce in foreign markets down to the 2d February last .",1830,3.0,Commerce
38,"  To the mayor, aldermen and citizens of the city of Montreal, duly assembled in council : the Committee on Roads and Improvements, respectfully report that among the numerous incidents.",1841,3.0,Commerce
39,  The growth and trend of Indian trade : a forty years' survey,1901,3.0,Commerce
40,"  Theory and practice of commerce, or, Commercial practice : question papers with answers from 1910 to 1916.",1917,4.0,Commerce
41,  The Indian empire as a market for Canadian products,1922,4.0,Commerce
43,  An historical and statistical account of the foreign commerce : of the United States 1820-1856,1857,4.0,Commerce
45,  General review of the trade of Montreal : also a synopsis of the commerce of Canada,1878,4.0,Commerce
46,"  An account of the French usurpation upon the trade of England : and what great damage the English do yearly sustain by their commerce, and how the same may be retrenched, and England improved in riches and interest.",1679,4.0,Commerce
47,"  An exposition of the principles and methods employed in the fabrication of certain United States and Canadian annual trade tables from 1867 to 1885 : together with the mathematical formulae on which the fabrication is based, as derived from James Bernoulli's Ars conjectandi, published at Basle in 1713",1886,4.0,Commerce
48,"  Report of the commissioners from British North America : appointed to inquire into the trade of the West Indies, Mexico & Brazil : laid before both houses of Parliament by order of His Excellency the governor general.",1866,4.0,Commerce
52,"  Trade with Nova Scotia and New Brunswick, &c : February 25, 1839, read and laid upon the table.",1839,5.0,Commerce
54,"  Thomas Bakewell next door to the Horn Tavern in Fleet Street, London, selleth all sorts of fine French, Italian and Dutch prints & maps ...",1735,5.0,Commerce
55,  Monopoly and unrestricted circulation of the sacred scriptures contrasted.,1840,5.0,Commerce
58,"  To all shopkeepers. Great sale! For 21 days. Rare bargains. Haberdashery, stationery, toys, tobacconists' goods[,] slates, and fancy goods. D. Hevey, 175, Lambeth Walk, London ... All our regular goods will be sold at a great reduction in price during the sale. Job lots - 5/-, 10/-, 15/- and 20/- 'lots. All orders will be executed in rotation as they come in. In order to prevent disappointment. Always known as the cheapest house in the trade.",1884,5.0,Commerce
59,"  A comparative view of the external commerce of Bengal, during the years 1831-32, and 1832-33 accompanied with tables, illustrative of the extent of trade carried on with each country.",1833,5.0,Commerce
60,"  [Trade card for Egerton & Co., manufacturers & contractors of every description of caps, 1892].",1892,6.0,Commerce
61,"  Proposals for printing by public subscription [being the cheapest book of its kind ever printed in Britain] Mr Salmon's new geographical and historical grammar, with additions particularly relating to Scotland and the British acquisitions in America.",1765,6.0,Commerce
63,  The southern business directory and general commercial advertiser. Vol. 1.,1854,6.0,Commerce
64,"  Some important frauds committed in trade, and the revenue in Ireland laid open: with an account of the scheme that was formed for a general detection thereof and of the proceedings of the managers for the Crown, in the prosecution of the seizure made at Wexford. With other particulars relating thereto.",1746,6.0,Commerce
65,  The outlook for British commerce. A reply to Mr. Carnegie,1902,6.0,Commerce
66,"  An Historical Disquisition concerning the knowledge which the ancients had of India, and the progress of trade with that country, prior to the discovery of the passage to it by the Cape of Good Hope with an appendix, containing observations on the Civil Policy, the Laws ... and religious institutions of the Indians.",1791,6.0,Commerce
68,"  An historical disquisition concerning the knowledge which the ancients had of India, and the progress of trade with that country prior to the discovery of the passage to it by the Cape of Good Hope : with an appendix containing observations on the civil policy, the laws and judicial proceedings, the arts, the sciences and religious institutions of the Indians",1809,6.0,Commerce
69,  The Trade Relations of the British Empire.,1903,6.0,Commerce
70,  A review of the external Commerce of Bengal from 1813-14 to 1827-28.,1830,7.0,Commerce
74,"  Selections : Punjab trade statistics. Nos. I to X, Memoranda on the trade of the Shahpoor, Jehlum, Rohtuck, Sirsa, Jullundur, Goojrat, Mooltan, Jhung, Bunnoo and Dera Ishmael Khan districts.",1867,7.0,Commerce
75,"  Toronto trade circular & price current, Toronto, Thursday, August 24th, 1882 ..",1882,7.0,Commerce
76,"  Remarks on the external commerce and exchanges of Bengal, with appendix of accounts and estimates.",1823,7.0,Commerce
77,"  Statements concerning the trade and commerce of the city of Montreal for 1862 : being a reprint of three articles from the ""Daily Witness"", viz : I.--The produce trade II.--The shipping interests III.--Financial matters.",1863,7.0,Commerce
79,  Annual review of the trade and commerce of Montreal for 1866 : with a glance at the resources of Canada,1867,7.0,Commerce
80,"  Seventh annual report of the British Columbia Board of Trade : fourth July, 1885, to third July, 1886.",1886,8.0,Commerce
81,"  Ninth annual report of the British Columbia Board of Trade from 7th July, 1887, to 6th July, 1888.",1888,8.0,Commerce
83,"  A letter on the distresses of the country : addressed to His Royal Highness the Duke of Kent, in consequence of his motion respecting ""The revulsion of trade, and our sudden transition from a system of extensive war to a state of peace"" in which the supposed influence of our debt and taxes, upon our manufactures and foreign trade, is investigated",1817,8.0,Commerce
84,  Annual review of the trade and commerce of Montreal for 1866.,1867,8.0,Commerce
85,  Commercial relations between Brazil and Canada : with supplementary information relating to trade with the West Indies,1880,8.0,Commerce
86,  Our interprovincial trade : a history of Canada's progress,1889,8.0,Commerce
